date,item_id,price_ngn,unit
2012-09-22,rice_foreign,7719.166666666667,50kg Bag
2012-09-23,rice_foreign,7718.333333333333,50kg Bag
2012-09-24,rice_foreign,7717.5,50kg Bag
2012-09-25,rice_foreign,7716.666666666667,50kg Bag
2012-09-26,rice_foreign,7715.833333333333,50kg Bag
2012-09-27,rice_foreign,7715.0,50kg Bag
2012-09-28,rice_foreign,7714.166666666667,50kg Bag
2012-09-29,rice_foreign,7713.333333333333,50kg Bag
2012-09-30,rice_foreign,7712.5,50kg Bag
2012-10-01,rice_foreign,7711.666666666667,50kg Bag
2012-10-02,rice_foreign,7710.833333333333,50kg Bag
2012-10-03,rice_foreign,7710.0,50kg Bag
2012-10-04,rice_foreign,7709.166666666667,50kg Bag
2012-10-05,rice_foreign,7708.333333333333,50kg Bag
2012-10-06,rice_foreign,7707.5,50kg Bag
2012-10-07,rice_foreign,7706.666666666667,50kg Bag
2012-10-08,rice_foreign,7705.833333333333,50kg Bag
2012-10-09,rice_foreign,7705.0,50kg Bag
2012-10-10,rice_foreign,7704.166666666667,50kg Bag
2012-10-11,rice_foreign,7703.333333333333,50kg Bag
2012-10-12,rice_foreign,7702.5,50kg Bag
2012-10-13,rice_foreign,7701.666666666667,50kg Bag
2012-10-14,rice_foreign,7700.833333333333,50kg Bag
2012-10-15,rice_foreign,7700.0,50kg Bag
2012-10-16,rice_foreign,7696.774193548387,50kg Bag
2012-10-17,rice_foreign,7693.548387096775,50kg Bag
2012-10-18,rice_foreign,7690.322580645161,50kg Bag
2012-10-19,rice_foreign,7687.096774193548,50kg Bag
2012-10-20,rice_foreign,7683.870967741936,50kg Bag
2012-10-21,rice_foreign,7680.645161290323,50kg Bag
2012-10-22,rice_foreign,7677.419354838709,50kg Bag
2012-10-23,rice_foreign,7674.193548387097,50kg Bag
2012-10-24,rice_foreign,7670.967741935484,50kg Bag
2012-10-25,rice_foreign,7667.741935483871,50kg Bag
2012-10-26,rice_foreign,7664.516129032258,50kg Bag
2012-10-27,rice_foreign,7661.290322580645,50kg Bag
2012-10-28,rice_foreign,7658.064516129032,50kg Bag
2012-10-29,rice_foreign,7654.8387096774195,50kg Bag
2012-10-30,rice_foreign,7651.612903225807,50kg Bag
2012-10-31,rice_foreign,7648.387096774193,50kg Bag
2012-11-01,rice_foreign,7645.16129032258,50kg Bag
2012-11-02,rice_foreign,7641.935483870968,50kg Bag
2012-11-03,rice_foreign,7638.709677419355,50kg Bag
2012-11-04,rice_foreign,7635.483870967741,50kg Bag
2012-11-05,rice_foreign,7632.258064516129,50kg Bag
2012-11-06,rice_foreign,7629.032258064516,50kg Bag
2012-11-07,rice_foreign,7625.806451612903,50kg Bag
2012-11-08,rice_foreign,7622.580645161291,50kg Bag
2012-11-09,rice_foreign,7619.354838709677,50kg Bag
2012-11-10,rice_foreign,7616.129032258064,50kg Bag
2012-11-11,rice_foreign,7612.903225806452,50kg Bag
2012-11-12,rice_foreign,7609.677419354839,50kg Bag
2012-11-13,rice_foreign,7606.451612903225,50kg Bag
2012-11-14,rice_foreign,7603.225806451613,50kg Bag
2012-11-15,rice_foreign,7600.0,50kg Bag
2012-11-16,rice_foreign,7613.333333333333,50kg Bag
2012-11-17,rice_foreign,7626.666666666667,50kg Bag
2012-11-18,rice_foreign,7640.0,50kg Bag
2012-11-19,rice_foreign,7653.333333333333,50kg Bag
2012-11-20,rice_foreign,7666.666666666667,50kg Bag
2012-11-21,rice_foreign,7680.0,50kg Bag
2012-11-22,rice_foreign,7693.333333333333,50kg Bag
2012-11-23,rice_foreign,7706.666666666667,50kg Bag
2012-11-24,rice_foreign,7720.0,50kg Bag
2012-11-25,rice_foreign,7733.333333333333,50kg Bag
2012-11-26,rice_foreign,7746.666666666667,50kg Bag
2012-11-27,rice_foreign,7760.0,50kg Bag
2012-11-28,rice_foreign,7773.333333333333,50kg Bag
2012-11-29,rice_foreign,7786.666666666667,50kg Bag
2012-11-30,rice_foreign,7800.0,50kg Bag
2012-12-01,rice_foreign,7813.333333333333,50kg Bag
2012-12-02,rice_foreign,7826.666666666667,50kg Bag
2012-12-03,rice_foreign,7840.0,50kg Bag
2012-12-04,rice_foreign,7853.333333333333,50kg Bag
2012-12-05,rice_foreign,7866.666666666667,50kg Bag
2012-12-06,rice_foreign,7880.0,50kg Bag
2012-12-07,rice_foreign,7893.333333333333,50kg Bag
2012-12-08,rice_foreign,7906.666666666667,50kg Bag
2012-12-09,rice_foreign,7920.0,50kg Bag
2012-12-10,rice_foreign,7933.333333333333,50kg Bag
2012-12-11,rice_foreign,7946.666666666667,50kg Bag
2012-12-12,rice_foreign,7960.0,50kg Bag
2012-12-13,rice_foreign,7973.333333333333,50kg Bag
2012-12-14,rice_foreign,7986.666666666667,50kg Bag
2012-12-15,rice_foreign,8000.0,50kg Bag
2012-12-16,rice_foreign,7972.258064516129,50kg Bag
2012-12-17,rice_foreign,7944.516129032258,50kg Bag
2012-12-18,rice_foreign,7916.774193548387,50kg Bag
2012-12-19,rice_foreign,7889.032258064516,50kg Bag
2012-12-20,rice_foreign,7861.290322580645,50kg Bag
2012-12-21,rice_foreign,7833.548387096775,50kg Bag
2012-12-22,rice_foreign,7805.806451612903,50kg Bag
2012-12-23,rice_foreign,7778.064516129032,50kg Bag
2012-12-24,rice_foreign,7750.322580645161,50kg Bag
2012-12-25,rice_foreign,7722.580645161291,50kg Bag
2012-12-26,rice_foreign,7694.8387096774195,50kg Bag
2012-12-27,rice_foreign,7667.096774193548,50kg Bag
2012-12-28,rice_foreign,7639.354838709677,50kg Bag
2012-12-29,rice_foreign,7611.612903225807,50kg Bag
2012-12-30,rice_foreign,7583.870967741936,50kg Bag
2012-12-31,rice_foreign,7556.129032258064,50kg Bag
2013-01-01,rice_foreign,7528.387096774193,50kg Bag
2013-01-02,rice_foreign,7500.645161290323,50kg Bag
2013-01-03,rice_foreign,7472.903225806452,50kg Bag
2013-01-04,rice_foreign,7445.16129032258,50kg Bag
2013-01-05,rice_foreign,7417.419354838709,50kg Bag
2013-01-06,rice_foreign,7389.677419354839,50kg Bag
2013-01-07,rice_foreign,7361.935483870968,50kg Bag
2013-01-08,rice_foreign,7334.193548387097,50kg Bag
2013-01-09,rice_foreign,7306.451612903225,50kg Bag
2013-01-10,rice_foreign,7278.709677419355,50kg Bag
2013-01-11,rice_foreign,7250.967741935484,50kg Bag
2013-01-12,rice_foreign,7223.225806451613,50kg Bag
2013-01-13,rice_foreign,7195.483870967742,50kg Bag
2013-01-14,rice_foreign,7167.741935483871,50kg Bag
2013-01-15,rice_foreign,7140.0,50kg Bag
2013-01-16,rice_foreign,7163.050847457627,50kg Bag
2013-01-17,rice_foreign,7186.101694915255,50kg Bag
2013-01-18,rice_foreign,7209.152542372882,50kg Bag
2013-01-19,rice_foreign,7232.203389830508,50kg Bag
2013-01-20,rice_foreign,7255.254237288135,50kg Bag
2013-01-21,rice_foreign,7278.305084745762,50kg Bag
2013-01-22,rice_foreign,7301.35593220339,50kg Bag
2013-01-23,rice_foreign,7324.406779661017,50kg Bag
2013-01-24,rice_foreign,7347.457627118644,50kg Bag
2013-01-25,rice_foreign,7370.508474576271,50kg Bag
2013-01-26,rice_foreign,7393.559322033898,50kg Bag
2013-01-27,rice_foreign,7416.610169491525,50kg Bag
2013-01-28,rice_foreign,7439.661016949152,50kg Bag
2013-01-29,rice_foreign,7462.71186440678,50kg Bag
2013-01-30,rice_foreign,7485.762711864407,50kg Bag
2013-01-31,rice_foreign,7508.813559322034,50kg Bag
2013-02-01,rice_foreign,7531.864406779661,50kg Bag
2013-02-02,rice_foreign,7554.915254237288,50kg Bag
2013-02-03,rice_foreign,7577.966101694915,50kg Bag
2013-02-04,rice_foreign,7601.016949152542,50kg Bag
2013-02-05,rice_foreign,7624.067796610169,50kg Bag
2013-02-06,rice_foreign,7647.118644067797,50kg Bag
2013-02-07,rice_foreign,7670.169491525424,50kg Bag
2013-02-08,rice_foreign,7693.220338983051,50kg Bag
2013-02-09,rice_foreign,7716.271186440678,50kg Bag
2013-02-10,rice_foreign,7739.322033898305,50kg Bag
2013-02-11,rice_foreign,7762.372881355932,50kg Bag
2013-02-12,rice_foreign,7785.423728813559,50kg Bag
2013-02-13,rice_foreign,7808.474576271186,50kg Bag
2013-02-14,rice_foreign,7831.525423728814,50kg Bag
2013-02-15,rice_foreign,7854.576271186441,50kg Bag
2013-02-16,rice_foreign,7877.627118644068,50kg Bag
2013-02-17,rice_foreign,7900.677966101695,50kg Bag
2013-02-18,rice_foreign,7923.728813559322,50kg Bag
2013-02-19,rice_foreign,7946.779661016949,50kg Bag
2013-02-20,rice_foreign,7969.830508474576,50kg Bag
2013-02-21,rice_foreign,7992.881355932203,50kg Bag
2013-02-22,rice_foreign,8015.932203389831,50kg Bag
2013-02-23,rice_foreign,8038.983050847458,50kg Bag
2013-02-24,rice_foreign,8062.033898305084,50kg Bag
2013-02-25,rice_foreign,8085.084745762711,50kg Bag
2013-02-26,rice_foreign,8108.135593220339,50kg Bag
2013-02-27,rice_foreign,8131.186440677966,50kg Bag
2013-02-28,rice_foreign,8154.237288135593,50kg Bag
2013-03-01,rice_foreign,8177.28813559322,50kg Bag
2013-03-02,rice_foreign,8200.338983050848,50kg Bag
2013-03-03,rice_foreign,8223.389830508475,50kg Bag
2013-03-04,rice_foreign,8246.440677966102,50kg Bag
2013-03-05,rice_foreign,8269.49152542373,50kg Bag
2013-03-06,rice_foreign,8292.542372881357,50kg Bag
2013-03-07,rice_foreign,8315.593220338982,50kg Bag
2013-03-08,rice_foreign,8338.64406779661,50kg Bag
2013-03-09,rice_foreign,8361.694915254237,50kg Bag
2013-03-10,rice_foreign,8384.745762711864,50kg Bag
2013-03-11,rice_foreign,8407.796610169491,50kg Bag
2013-03-12,rice_foreign,8430.847457627118,50kg Bag
2013-03-13,rice_foreign,8453.898305084746,50kg Bag
2013-03-14,rice_foreign,8476.949152542373,50kg Bag
2013-03-15,rice_foreign,8500.0,50kg Bag
2013-03-16,rice_foreign,8541.935483870968,50kg Bag
2013-03-17,rice_foreign,8583.870967741936,50kg Bag
2013-03-18,rice_foreign,8625.806451612903,50kg Bag
2013-03-19,rice_foreign,8667.741935483871,50kg Bag
2013-03-20,rice_foreign,8709.677419354839,50kg Bag
2013-03-21,rice_foreign,8751.612903225807,50kg Bag
2013-03-22,rice_foreign,8793.548387096775,50kg Bag
2013-03-23,rice_foreign,8835.483870967742,50kg Bag
2013-03-24,rice_foreign,8877.41935483871,50kg Bag
2013-03-25,rice_foreign,8919.354838709678,50kg Bag
2013-03-26,rice_foreign,8961.290322580646,50kg Bag
2013-03-27,rice_foreign,9003.225806451614,50kg Bag
2013-03-28,rice_foreign,9045.16129032258,50kg Bag
2013-03-29,rice_foreign,9087.09677419355,50kg Bag
2013-03-30,rice_foreign,9129.032258064515,50kg Bag
2013-03-31,rice_foreign,9170.967741935485,50kg Bag
2013-04-01,rice_foreign,9212.90322580645,50kg Bag
2013-04-02,rice_foreign,9254.83870967742,50kg Bag
2013-04-03,rice_foreign,9296.774193548386,50kg Bag
2013-04-04,rice_foreign,9338.709677419354,50kg Bag
2013-04-05,rice_foreign,9380.645161290322,50kg Bag
2013-04-06,rice_foreign,9422.58064516129,50kg Bag
2013-04-07,rice_foreign,9464.516129032258,50kg Bag
2013-04-08,rice_foreign,9506.451612903224,50kg Bag
2013-04-09,rice_foreign,9548.387096774191,50kg Bag
2013-04-10,rice_foreign,9590.32258064516,50kg Bag
2013-04-11,rice_foreign,9632.258064516129,50kg Bag
2013-04-12,rice_foreign,9674.193548387097,50kg Bag
2013-04-13,rice_foreign,9716.129032258064,50kg Bag
2013-04-14,rice_foreign,9758.064516129032,50kg Bag
2013-04-15,rice_foreign,9800.0,50kg Bag
2013-04-16,rice_foreign,9789.333333333334,50kg Bag
2013-04-17,rice_foreign,9778.666666666666,50kg Bag
2013-04-18,rice_foreign,9768.0,50kg Bag
2013-04-19,rice_foreign,9757.333333333334,50kg Bag
2013-04-20,rice_foreign,9746.666666666666,50kg Bag
2013-04-21,rice_foreign,9736.0,50kg Bag
2013-04-22,rice_foreign,9725.333333333334,50kg Bag
2013-04-23,rice_foreign,9714.666666666666,50kg Bag
2013-04-24,rice_foreign,9704.0,50kg Bag
2013-04-25,rice_foreign,9693.333333333334,50kg Bag
2013-04-26,rice_foreign,9682.666666666666,50kg Bag
2013-04-27,rice_foreign,9672.0,50kg Bag
2013-04-28,rice_foreign,9661.333333333334,50kg Bag
2013-04-29,rice_foreign,9650.666666666666,50kg Bag
2013-04-30,rice_foreign,9640.0,50kg Bag
2013-05-01,rice_foreign,9629.333333333334,50kg Bag
2013-05-02,rice_foreign,9618.666666666666,50kg Bag
2013-05-03,rice_foreign,9608.0,50kg Bag
2013-05-04,rice_foreign,9597.333333333334,50kg Bag
2013-05-05,rice_foreign,9586.666666666666,50kg Bag
2013-05-06,rice_foreign,9576.0,50kg Bag
2013-05-07,rice_foreign,9565.333333333334,50kg Bag
2013-05-08,rice_foreign,9554.666666666666,50kg Bag
2013-05-09,rice_foreign,9544.0,50kg Bag
2013-05-10,rice_foreign,9533.333333333334,50kg Bag
2013-05-11,rice_foreign,9522.666666666666,50kg Bag
2013-05-12,rice_foreign,9512.0,50kg Bag
2013-05-13,rice_foreign,9501.333333333334,50kg Bag
2013-05-14,rice_foreign,9490.666666666666,50kg Bag
2013-05-15,rice_foreign,9480.0,50kg Bag
2013-05-16,rice_foreign,9464.516129032258,50kg Bag
2013-05-17,rice_foreign,9449.032258064515,50kg Bag
2013-05-18,rice_foreign,9433.548387096776,50kg Bag
2013-05-19,rice_foreign,9418.064516129032,50kg Bag
2013-05-20,rice_foreign,9402.58064516129,50kg Bag
2013-05-21,rice_foreign,9387.09677419355,50kg Bag
2013-05-22,rice_foreign,9371.612903225809,50kg Bag
2013-05-23,rice_foreign,9356.129032258064,50kg Bag
2013-05-24,rice_foreign,9340.645161290322,50kg Bag
2013-05-25,rice_foreign,9325.16129032258,50kg Bag
2013-05-26,rice_foreign,9309.67741935484,50kg Bag
2013-05-27,rice_foreign,9294.193548387097,50kg Bag
2013-05-28,rice_foreign,9278.709677419354,50kg Bag
2013-05-29,rice_foreign,9263.225806451614,50kg Bag
2013-05-30,rice_foreign,9247.741935483871,50kg Bag
2013-05-31,rice_foreign,9232.258064516129,50kg Bag
2013-06-01,rice_foreign,9216.774193548386,50kg Bag
2013-06-02,rice_foreign,9201.290322580646,50kg Bag
2013-06-03,rice_foreign,9185.806451612903,50kg Bag
2013-06-04,rice_foreign,9170.32258064516,50kg Bag
